trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,10,-5.771431130464473,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,12,-2.8162431539307855,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,0,-18.833376880499163,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,0,-103.04732110718817,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",30,8,-14.703708726666628,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,6,-23.60776778472723,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,17,2.85378240518656,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-62.41875068754277,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-36.29807322108018,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,23,4.828853233936538,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,1,-72.93749319070699,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,6,-29.733332019966543,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",30,0,-126.466821584087,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",35,23,-9.458008044957442,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,12,-2.883916199669814,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,6,-38.119580001795065,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,0,-77.3347948535797,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-71.46500116381299,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,15,0.7876792821965739,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,10,8.187581444620076,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,10,0.9880179807635447,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,7,-29.499106832152385,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,0,-27.341320475992653,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-75.96058948279051,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,8,-4.289914927051575,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,14,12.006492831939825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,17,-23.676567737799495,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",30,19,-9.574748383373342,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",25,16,3.2540191655294093,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,15,10.329675061002654,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",30,13,6.435407032596137,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,10,-23.837317474069874,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,7,9.37981775074769,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,6,-26.853916294661442,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,12,13.865849881835667,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,7,6.95134494782776,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,9,19.346771810413596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,8,-36.08855865550825,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,12,2.027940061963262,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,20,6.204659480325461,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",20,13,-0.18543416790896972,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,14,29.406390271391917,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,12,-38.421564066535936,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,6,5.834272240732982,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,12,18.493911771103036,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,0,-3.270741903610382,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,14,11.533917650721602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,14,11.854593018185598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,10,-19.652751378530525,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",30,0,23.613668058123896,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",30,12,2.538799953484188,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,14,9.590394334734855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,8,-70.03826059009864,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,13,13.159866322363126,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,13,13.283753495260829,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,10,-19.444282034168644,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",25,10,-9.18089321910715,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,10,26.187991214233687,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",30,3,-1.1512059339662788,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,14,4.856256659136431,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,11,17.638753261002865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",35,9,6.439691653557841,"{0: 24, 1: 0, 2: 0, 3: 2, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,6,-29.949184349394816,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,13,12.985342639536402,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",30,13,-19.30564975289192,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",30,20,-17.318588575072113,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,0,17.032504757726826,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,15,8.574206017185812,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",30,13,23.61585543512958,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,16,11.80082053802169,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",30,19,13.47589156622754,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",20,9,9.766910173693452,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",20,3,31.73523152867651,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,14,6.162172037176747,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,7,-7.389695375298526,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,11,16.27451837177263,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,15,16.78575257170558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",30,16,20.382247553248295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,16,12.440095801486892,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,6,20.799713093573793,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",30,19,20.62271168586296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,12,24.19080801115571,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",20,7,24.662106377649945,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,12,14.47142859298704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
